Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,58.0,1,1,1,1,208.0,35862.0,1,0,0,0,0,1,0,1,0,0,0,1
2,70.0,1,1,1,1,300.0,42857.0,0,1,1,0,1,0,0,1,0,0,0,1
2,42.0,1,1,1,1,168.0,40000.0,1,0,0,0,0,1,0,1,0,0,0,0
1,42.0,1,1,1,1,155.0,36904.0,1,1,0,0,1,0,0,1,0,0,0,0
1,50.0,1,1,1,1,175.0,35000.0,0,0,1,0,0,1,0,1,0,0,0,0
3,52.0,1,1,1,1,255.0,49038.0,1,0,0,0,0,1,0,1,0,0,0,1
1,53.0,1,0,0,0,100.0,18867.0,1,0,0,0,0,0,0,1,0,0,0,1
2,49.0,1,1,1,1,178.0,36252.0,0,0,0,1,1,0,0,1,0,0,0,0
1,40.0,1,1,1,1,149.0,37250.0,1,1,0,0,1,0,0,1,0,0,0,0
2,58.0,1,1,1,1,220.0,37931.0,1,0,0,0,0,1,0,1,0,0,0,1
2,52.0,1,1,1,1,208.0,40000.0,1,0,1,0,1,0,0,1,0,0,0,1
2,48.0,1,1,1,1,155.0,32291.0,1,0,0,0,1,0,0,1,0,0,0,0
2,46.0,1,1,1,1,168.0,36521.0,1,0,0,0,0,1,0,1,0,0,0,0
1,42.0,1,1,1,1,170.0,40476.0,1,0,0,0,0,1,0,1,0,0,0,0
1,45.0,1,0,1,1,120.0,26666.0,1,0,0,0,0,0,1,1,0,0,0,0
2,52.0,1,1,1,1,208.0,40000.0,1,0,1,0,1,0,0,1,0,0,0,1
2,46.0,1,1,1,1,168.0,36521.0,1,0,0,0,1,0,0,1,0,0,0,0
1,40.0,1,1,0,1,118.0,29500.0,1,0,0,0,0,1,0,1,0,0,0,0
1,48.0,1,1,0,1,133.0,27198.0,1,0,0,0,0,0,1,1,0,0,0,0
2,42.0,1,1,1,1,172.0,40952.0,0,0,1,0,0,1,0,1,0,0,0,0
